Indicator Name,Indicator Code,Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Population, female",SP.POP.TOTL.FE.IN,China,CHN,612456939,617082063,621436557,625534993,629369651,633047012,636711861,640203444,643486317,646729218,649891191,652992671,656550787,661013974,665447390,669700351,673690703,677689913,682006802,685468978,688179990,690171848,691219627,691528501,691168325
"Population, female",SP.POP.TOTL.FE.IN,Cote d'Ivoire,CIV,8098881,8330187,8557174,8774649,8983181,9188308,9390312,9590427,9789603,9990049,10193879,10402077,10618615,10845584,11077831,11343487,11646213,11956537,12275633,12600637,12929424,13264169,13600535,13944972,14304003
"Population, female",SP.POP.TOTL.FE.IN,Cameroon,CMR,7406268,7602707,7803427,8013386,8232772,8459566,8691569,8928603,9177878,9439512,9709582,9987915,10272225,10562805,10861379,11193372,11548794,11896708,12235344,12575513,12926852,13280460,13634397,13992014,14357596
"Population, female",SP.POP.TOTL.FE.IN,"Congo, Dem. Rep.",COD,23872901,24582226,25333610,26117751,26895414,27703894,28573264,29491075,30446631,31428249,32441587,33506062,34641217,35816345,37051204,38343735,39659606,41052552,42483740,43890310,45306478,46787187,48319268,49892177,51530330
"Population, female",SP.POP.TOTL.FE.IN,"Congo, Rep.",COG,1525600,1583527,1642642,1680249,1726060,1784261,1848198,1917479,1988080,2053874,2136899,2226558,2299164,2363092,2419983,2478001,2537273,2598046,2660503,2724474,2788979,2854622,2921372,2988624,3056928
"Population, female",SP.POP.TOTL.FE.IN,Colombia,COL,19418369,19745251,20068231,20387506,20699708,21004780,21300552,21586300,21863668,22128690,22387951,22648175,22903701,23149997,23387544,23617367,23847355,24107989,24477100,24945907,25408106,25791075,26101321,26298417,26416500
"Population, female",SP.POP.TOTL.FE.IN,Comoros,COM,264635,270024,275663,281375,286981,292358,297762,303423,309235,315224,321463,327981,334786,341836,349095,356575,364283,372233,379781,386817,393860,401263,408923,416416,423943
"Population, female",SP.POP.TOTL.FE.IN,Cabo Verde,CPV,231762,235732,238957,241967,244781,247428,249955,252389,254737,256967,259039,261618,264908,268138,271223,274372,277489,280659,283971,287116,290056,292895,295580,298239,301036
"Population, female",SP.POP.TOTL.FE.IN,Costa Rica,CRI,1937516,1976587,2013719,2048540,2081709,2114018,2145820,2177342,2208704,2240104,2271211,2301231,2330459,2359193,2387107,2414032,2440173,2465916,2490983,2515262,2538156,2558483,2575216,2590119,2606939
"Population, female",SP.POP.TOTL.FE.IN,Cuba,CUB,5507169,5530949,5553672,5574743,5592995,5608307,5620997,5630486,5637238,5642613,5647821,5653239,5659068,5666230,5674433,5681712,5687872,5691556,5691861,5691084,5688414,5683880,5667114,5649497,5642765
"Population, female",SP.POP.TOTL.FE.IN,Curacao,CUW,74526,71759,69297,69407,70881,72171,74107,76129,77748,78831,79445,80563,81834,82447,83143,84083,85063,85884,86109,83537,81416,80772,79361,78085,76927
"Population, female",SP.POP.TOTL.FE.IN,Cayman Islands,CYM,19509,20191,20878,21567,22258,22964,23681,24400,25123,25849,26569,27277,27924,28512,29100,29706,30339,30984,31627,32258,32849,33370,33738,34036,34367
"Population, female",SP.POP.TOTL.FE.IN,Cyprus,CYP,461223,469782,478320,487231,496534,505947,515381,524816,534289,543817,553403,563093,571053,576891,582139,587186,592342,597688,603093,608241,613199,617605,621034,624713,628990
"Population, female",SP.POP.TOTL.FE.IN,Czechia,CZE,5278655,5262270,5239852,5225903,5220524,5218325,5221632,5231604,5258186,5297914,5323944,5335288,5343378,5349512,5350915,5355330,5363145,5370608,5382150,5397481,5416114,5428157,5331795,5414896,5511370
"Population, female",SP.POP.TOTL.FE.IN,Germany,DEU,42177771,42230577,42300074,42368228,42384876,42364698,42322242,42244938,42149394,42021256,41860223,41739548,40917407,40939379,40998376,41123008,41441710,41750423,41890094,42006470,42096607,42128351,42146923,42450429,42786740
"Population, female",SP.POP.TOTL.FE.IN,Djibouti,DJI,361798,373098,384784,396557,405154,411093,417325,425380,434536,443433,452579,461678,470557,479398,488225,497024,505777,514429,523091,531774,540367,548686,556667,564584,572630
"Population, female",SP.POP.TOTL.FE.IN,Dominica,DMA,34406,34213,34093,34103,34147,34160,34154,34152,34145,34119,34089,34038,34025,34127,34077,34444,34863,34895,35104,35370,35755,36112,36373,36577,36758
"Population, female",SP.POP.TOTL.FE.IN,Denmark,DNK,2692173,2700153,2708914,2716612,2723159,2729661,2736640,2744985,2756409,2771809,2785879,2797441,2808185,2817935,2828795,2842283,2861483,2882835,2900427,2913918,2923497,2931257,2943337,2966194,2988010
"Population, female",SP.POP.TOTL.FE.IN,Dominican Republic,DOM,4162488,4217351,4271617,4330181,4393360,4455672,4517262,4577992,4638424,4700619,4765395,4831796,4898563,4965013,5030991,5096363,5160958,5224450,5286818,5348537,5409472,5472181,5535650,5594560,5649550
"Population, female",SP.POP.TOTL.FE.IN,Algeria,DZA,14863283,15076418,15288132,15497822,15709725,15932047,16150274,16384158,16653361,16941031,17249096,17573708,17911362,18264572,18629532,19004433,19390923,19783015,20175233,20564404,20948465,21318767,21680725,22040987,22389320
"Population, female",SP.POP.TOTL.FE.IN,Ecuador,ECU,6195516,6303121,6412962,6525796,6641367,6758388,6876511,6996611,7118765,7242204,7366263,7490733,7615672,7739326,7859194,7976779,8095675,8217460,8346245,8506021,8670974,8798448,8910903,9016398,9111966
"Population, female",SP.POP.TOTL.FE.IN,"Egypt, Arab Rep.",EGY,34522238,35234075,35958115,36706908,37471228,38236048,39003462,39776795,40568130,41378685,42205138,43076670,44030939,45030881,46092575,47193391,48251205,49274300,50273865,51250007,52189268,53107732,54001891,54865512,55728922
"Population, female",SP.POP.TOTL.FE.IN,Eritrea,ERI,1203350,1224856,1259330,1301839,1354578,1409206,1443290,1467258,1490034,1529533,1568303,1599986,1629719,1652054,1673718,1687076,1695227,1707716,1723370,1747412,1773958,1802355,1834472,1866154,1898379
"Population, female",SP.POP.TOTL.FE.IN,Spain,ESP,20606430,20696897,20839665,21116299,21467183,21804175,22136732,22487488,22879460,23224481,23435819,23562691,23668076,23713604,23671269,23627558,23626850,23662382,23734338,23851736,24030201,24152012,24178936,24361595,24662475
"Population, female",SP.POP.TOTL.FE.IN,Estonia,EST,742576,745863,741392,737190,732979,728929,724912,720684,717490,715380,713461,711236,708523,705538,702454,699900,699505,698703,698113,698657,699471,699645,699703,708455,716878
"Population, female",SP.POP.TOTL.FE.IN,Ethiopia,ETH,32472079,33426506,34388876,35386878,36408151,37448428,38508936,39597926,40732253,41898913,43088296,44321299,45602329,46910795,48222340,49550412,50911434,52324690,53779101,55246462,56745161,58284361,59839622,61399749,62981355
"Population, female",SP.POP.TOTL.FE.IN,Finland,FIN,2645920,2650014,2654524,2659321,2664085,2670673,2678879,2688216,2698445,2709160,2720488,2731578,2742748,2754338,2765437,2775371,2782828,2788369,2792461,2794292,2795813,2798488,2803508,2810712,2824316
"Population, female",SP.POP.TOTL.FE.IN,Fiji,FJI,404912,409203,413349,417373,421301,425195,429005,432765,436189,439316,442224,444728,446947,448921,450737,452426,453908,455142,456092,456721,457099,458543,460926,463626,466885
"Population, female",SP.POP.TOTL.FE.IN,France,FRA,31151034,31370713,31606094,31843184,32074754,32317296,32568445,32802688,33013412,33205372,33382387,33553356,33722113,33890643,34069673,34233592,34359025,34452635,34554791,34680632,34801750,34900402,35006272,35123991,35242337
"Population, female",SP.POP.TOTL.FE.IN,Faroe Islands,FRO,21831,22047,22322,22572,22825,23088,23211,23217,23253,23282,23279,23271,23279,23307,23349,23414,23607,23930,24272,24596,24932,25285,25509,25608,25700
"Population, female",SP.POP.TOTL.FE.IN,"Micronesia, Fed. Sts.",FSM,55261,55399,55503,55496,55384,55191,54944,54645,54279,53877,53474,53341,53489,53664,53855,54067,54295,54538,54800,55063,55307,55694,56233,56777,57334
"Population, female",SP.POP.TOTL.FE.IN,Gabon,GAB,623969,639553,655799,672655,690223,708643,728089,748769,770739,794007,818769,845284,873485,902939,933066,963066,992215,1020095,1046814,1072844,1098462,1123751,1148767,1173488,1197990
"Population, female",SP.POP.TOTL.FE.IN,United Kingdom,GBR,30105897,30197282,30296779,30406325,30526615,30678379,30867389,31072904,31293296,31516343,31732553,31960504,32189405,32390769,32584323,32802913,33041408,33270675,33477363,33662065,33835792,33948108,33913559,34291141,34561278
"Population, female",SP.POP.TOTL.FE.IN,Georgia,GEO,2221240,2180268,2148711,2131091,2115806,2099711,2083571,2069236,2055684,2046427,2025467,2007980,1989292,1972269,1964187,1964758,1969065,1971253,1972199,1971912,1969251,1971581,1964929,1967488,1993159
"Population, female",SP.POP.TOTL.FE.IN,Ghana,GHA,9662884,9905777,10167572,10445597,10728320,11014041,11306552,11604406,11906554,12212794,12522583,12831981,13145044,13470314,13802693,14136988,14473575,14814792,15148680,15472613,15798612,16129086,16457496,16780756,17105458
"Population, female",SP.POP.TOTL.FE.IN,Gibraltar,GIB,13832,13898,13931,14030,14220,14416,14628,14838,15043,15241,15445,15664,15878,16096,16218,16250,16297,16320,16334,16351,16366,16372,16352,16341,16355
"Population, female",SP.POP.TOTL.FE.IN,Guinea,GIN,4141344,4227368,4295144,4371013,4468708,4565463,4660236,4760253,4870553,4987979,5109750,5235369,5364456,5495816,5630110,5769149,5914257,6064194,6216323,6370216,6527547,6687118,6846006,7005320,7167023
"Population, female",SP.POP.TOTL.FE.IN,"Gambia, The",GMB,707098,728476,750278,772505,794881,817742,841681,866989,893545,921048,949504,978713,1008766,1039815,1071377,1103078,1134792,1166502,1198214,1229801,1261541,1293962,1326796,1359657,1393072
"Population, female",SP.POP.TOTL.FE.IN,Guinea-Bissau,GNB,618471,630899,644242,658447,673448,689097,705396,722513,740644,759452,778729,798649,819438,841145,863505,886107,908728,931364,953800,976163,998712,1021222,1043505,1065706,1088101
"Population, female",SP.POP.TOTL.FE.IN,Equatorial Guinea,GNQ,325711,339229,354582,370147,386013,402383,419580,437943,457682,478831,501277,524794,547455,569135,591454,614281,637482,660879,684340,707784,731149,751896,771091,790982,810713
"Population, female",SP.POP.TOTL.FE.IN,Greece,GRC,5400308,5421868,5450658,5472047,5487478,5504540,5525472,5547892,5568591,5590605,5613295,5628559,5627949,5605198,5571423,5540073,5508465,5489087,5480681,5471554,5467106,5456292,5391653,5323993,5297371
"Population, female",SP.POP.TOTL.FE.IN,Grenada,GRD,53160,53397,53596,53697,53919,54297,54654,55015,55375,55736,56101,56477,56934,57486,58047,58606,59160,59709,60239,60748,61240,61746,62254,62717,63142
"Population, female",SP.POP.TOTL.FE.IN,Greenland,GRL,26084,26141,26232,26381,26487,26587,26618,26562,26486,26399,26415,26717,26746,26741,26612,26546,26480,26525,26528,26462,26563,26657,26844,26909,27069
"Population, female",SP.POP.TOTL.FE.IN,Guatemala,GTM,5687708,5829545,5972917,6113334,6249771,6385836,6521662,6656988,6791673,6925630,7058856,7191268,7324691,7457240,7590464,7723659,7856056,7987891,8119332,8250539,8380231,8509834,8639673,8767508,8892431
"Population, female",SP.POP.TOTL.FE.IN,Guam,GUM,77951,78996,79644,80115,80486,80760,80945,81046,81088,81076,81020,81214,81624,82041,82418,82710,82982,83220,83401,83492,83522,83914,84655,85329,85960
"Population, female",SP.POP.TOTL.FE.IN,Guyana,GUY,380389,380557,380591,380510,380574,380750,380652,380230,379546,378592,377375,375947,374340,374465,377010,380184,383410,386678,389970,399474,405932,407303,410932,412743,415010
"Population, female",SP.POP.TOTL.FE.IN,"Hong Kong SAR, China",HKG,3337520,3380202,3419501,3450535,3459990,3503605,3535501,3574074,3619281,3654659,3676363,3717750,3756104,3808534,3833872,3871591,3915630,3945594,3976575,4009595,4040585,4028025,3994078,3961508,4068730
"Population, female",SP.POP.TOTL.FE.IN,Honduras,HND,3203825,3292265,3381604,3471303,3560838,3650279,3739573,3828462,3916700,4003999,4090493,4176200,4261105,4345369,4429055,4512235,4595215,4678163,4761059,4844019,4927035,5008783,5087643,5165506,5246431
"Population, female",SP.POP.TOTL.FE.IN,Croatia,HRV,2343060,2323582,2237696,2239090,2239534,2239699,2241921,2241554,2239962,2238522,2234777,2227947,2218341,2209615,2201417,2190210,2169815,2152392,2124310,2102981,2089106,2077963,1990335,1977699,1975280
"Population, female",SP.POP.TOTL.FE.IN,Haiti,HTI,4134687,4210027,4285558,4360349,4435711,4510238,4585537,4663269,4741167,4819071,4897538,4952137,5006574,5084975,5162748,5240216,5317590,5394724,5471873,5548683,5625310,5701407,5774718,5846285,5919066
"Population, female",SP.POP.TOTL.FE.IN,Hungary,HUN,5362026,5351765,5342651,5330345,5317673,5307818,5297522,5288952,5281064,5271691,5262645,5249848,5231665,5200385,5183716,5167145,5151076,5132281,5114655,5101926,5092862,5077844,5055557,5013379,4979362
"Population, female",SP.POP.TOTL.FE.IN,Indonesia,IDN,104895341,106407480,107901551,109376745,110834579,112236510,113637675,115112096,116621886,118134983,119636496,121133510,122648363,124183204,125693504,127158711,128574643,129940374,131253454,132530163,133784436,134930389,135900714,136798063,137826291
"Population, female",SP.POP.TOTL.FE.IN,Isle of Man,IMN,38255,38626,38974,39308,39629,39937,40248,40599,40970,41358,41778,42206,42470,42493,42423,42321,42179,42110,42173,42267,42350,42415,42528,42660,42763
"Population, female",SP.POP.TOTL.FE.IN,India,IND,502255693,511410095,520679574,529978166,539178882,548274218,557161047,565762395,574185530,582492785,590747758,599047591,607376801,615647779,623809180,631697152,639323292,647012921,654607791,661854076,668786993,675389679,681060412,685992675,691776131
"Population, female",SP.POP.TOTL.FE.IN,Ireland,IRL,1890190,1914541,1945018,1978879,2010956,2044797,2084299,2136262,2199181,2249608,2278484,2295311,2308722,2320880,2334273,2353302,2376011,2401916,2427413,2456754,2490220,2515614,2539135,2586107,2653866
"Population, female",SP.POP.TOTL.FE.IN,"Iran, Islamic Rep.",IRN,31759367,32308864,32888440,33228012,33525382,34033455,34551612,35065378,35569016,36059993,36554728,37072743,37559635,38062269,38640588,39405613,40336099,41105603,41715123,42283609,42772045,43155308,43496643,43835978,44170373
"Population, female",SP.POP.TOTL.FE.IN,Iraq,IRQ,11984710,12383050,12775683,13184691,13588897,13986188,14410735,14521163,14407413,14692161,15226676,15709180,16258743,16993544,17793123,18414828,18907546,19369155,19826367,20301429,20774818,21259406,21736184,22205751,22698062
"Population, female",SP.POP.TOTL.FE.IN,Iceland,ISL,138528,140457,142323,143668,144693,145804,147560,149906,152841,155939,157502,158077,158835,159816,161389,163141,164598,166298,169093,172511,175683,178482,181577,186202,191856
"Population, female",SP.POP.TOTL.FE.IN,Israel,ISR,3107746,3189721,3264694,3329934,3389251,3448279,3508024,3568903,3631329,3695091,3783259,3850926,3919714,3989651,4061634,4137178,4216926,4297207,4378254,4460839,4544229,4622801,4699259,4790443,4887876
"Population, female",SP.POP.TOTL.FE.IN,Italy,ITA,29373779,29391838,29410285,29450615,29571065,29747782,29883545,29972190,30129102,30336005,30481038,30585093,30643856,30716299,31056458,31329027,31278411,31193971,31109769,31012809,30638263,30481007,30312143,30198875,30089777
"Population, female",SP.POP.TOTL.FE.IN,Jamaica,JAM,1311392,1318802,1324943,1331046,1337278,1343774,1350293,1356781,1362545,1367460,1372774,1378388,1384402,1390918,1397059,1402227,1406816,1410867,1413838,1415821,1417116,1420767,1424743,1424998,1424543
"Population, female",SP.POP.TOTL.FE.IN,Jordan,JOR,2374837,2431055,2487807,2546539,2608615,2677114,2749640,2943988,3138903,3218236,3291871,3367031,3455782,3507157,3725930,4160394,4549538,4778803,4902957,5024293,5143079,5257947,5368123,5438953,5468070
"Population, female",SP.POP.TOTL.FE.IN,Japan,JPN,64573919,64716290,64907199,65093948,65270637,65330634,65374871,65451729,65557955,65618491,65637199,65672237,65569426,65480007,65398896,65324683,65267090,65245704,65206949,65140618,65065286,64885399,64594414,64314912,64009039
"Population, female",SP.POP.TOTL.FE.IN,Kazakhstan,KAZ,7815477,7797373,7788399,7791988,7820478,7877124,7949338,8035070,8126518,8277191,8438381,8552136,8668254,8784512,8904870,9029051,9154229,9275967,9393051,9508427,9623458,9743042,9963421,10185836,10314585
"Population, female",SP.POP.TOTL.FE.IN,Kenya,KEN,15116098,15558445,16030683,16517681,17008340,17517645,18040263,18579218,19133373,19707234,20296096,20875000,21439190,21992229,22533107,23061826,23582948,24114618,24652004,25168522,25679257,26205082,26726429,27249938,27796386
"Population, female",SP.POP.TOTL.FE.IN,Kyrgyz Republic,KGZ,2483673,2512284,2535213,2557844,2584242,2614934,2643705,2671501,2696138,2720818,2752856,2784718,2817552,2863524,2919343,2976832,3036877,3097615,3156721,3218986,3286075,3348689,3447311,3550345,3614913
"Population, female",SP.POP.TOTL.FE.IN,Cambodia,KHM,6055381,6162331,6269097,6378217,6488659,6600114,6711926,6824167,6939365,7050210,7154373,7258651,7364277,7471081,7578172,7684470,7788391,7892686,7996341,8094239,8186482,8281334,8376956,8468316,8560264
"Population, female",SP.POP.TOTL.FE.IN,Kiribati,KIR,44337,45145,46058,47053,48026,49015,50037,51046,52031,53046,54099,55156,56161,57103,58026,58943,59874,60836,61819,62820,63851,64968,66150,67289,68371
"Population, female",SP.POP.TOTL.FE.IN,St. Kitts and Nevis,KNA,22592,22887,23130,23274,23381,23485,23587,23695,23800,23904,24005,24093,24200,24290,24339,24387,24430,24472,24515,24545,24562,24570,24591,24646,24721
"Population, female",SP.POP.TOTL.FE.IN,"Korea, Rep.",KOR,23190296,23385302,23577705,23737995,23885395,24005609,24081655,24228799,24368149,24570971,24715248,24852253,25034107,25137200,25224087,25356139,25466609,25566204,25654936,25783018,25889856,25938911,25914846,25876625,25908514
"Population, female",SP.POP.TOTL.FE.IN,Kuwait,KWT,781229,802091,822562,842457,861555,879585,915450,978402,1050213,1122360,1194588,1267716,1355253,1456439,1557776,1586002,1569671,1585277,1616950,1661345,1702878,1689384,1659419,1672926,1693808
